match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,15.6,Australia,India,SPD Smith,M Labuschagne,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,16.1,Australia,India,M Labuschagne,SPD Smith,RA Jadeja,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,16.2,Australia,India,M Labuschagne,SPD Smith,RA Jadeja,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,16.3,Australia,India,M Labuschagne,SPD Smith,RA Jadeja,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,16.4,Australia,India,M Labuschagne,SPD Smith,RA Jadeja,1,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,16.5,Australia,India,SPD Smith,M Labuschagne,RA Jadeja,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,16.6,Australia,India,SPD Smith,M Labuschagne,RA Jadeja,4,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,17.1,Australia,India,M Labuschagne,SPD Smith,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,17.2,Australia,India,M Labuschagne,SPD Smith,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,17.3,Australia,India,M Labuschagne,SPD Smith,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,17.4,Australia,India,M Labuschagne,SPD Smith,AR Patel,4,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,17.5,Australia,India,M Labuschagne,SPD Smith,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,17.6,Australia,India,M Labuschagne,SPD Smith,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,18.1,Australia,India,SPD Smith,M Labuschagne,RA Jadeja,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,18.2,Australia,India,SPD Smith,M Labuschagne,RA Jadeja,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,18.3,Australia,India,SPD Smith,M Labuschagne,RA Jadeja,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,18.4,Australia,India,SPD Smith,M Labuschagne,RA Jadeja,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,18.5,Australia,India,SPD Smith,M Labuschagne,RA Jadeja,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,18.6,Australia,India,SPD Smith,M Labuschagne,RA Jadeja,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,19.1,Australia,India,M Labuschagne,SPD Smith,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,19.2,Australia,India,M Labuschagne,SPD Smith,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,19.3,Australia,India,M Labuschagne,SPD Smith,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,19.4,Australia,India,M Labuschagne,SPD Smith,AR Patel,4,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,19.5,Australia,India,M Labuschagne,SPD Smith,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,19.6,Australia,India,M Labuschagne,SPD Smith,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,20.1,Australia,India,SPD Smith,M Labuschagne,RA Jadeja,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,20.2,Australia,India,SPD Smith,M Labuschagne,RA Jadeja,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,20.3,Australia,India,SPD Smith,M Labuschagne,RA Jadeja,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,20.4,Australia,India,SPD Smith,M Labuschagne,RA Jadeja,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,20.5,Australia,India,SPD Smith,M Labuschagne,RA Jadeja,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,20.6,Australia,India,SPD Smith,M Labuschagne,RA Jadeja,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,21.1,Australia,India,M Labuschagne,SPD Smith,R Ashwin,2,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,21.2,Australia,India,M Labuschagne,SPD Smith,R Ashwin,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,21.3,Australia,India,M Labuschagne,SPD Smith,R Ashwin,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,21.4,Australia,India,M Labuschagne,SPD Smith,R Ashwin,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,21.5,Australia,India,M Labuschagne,SPD Smith,R Ashwin,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,21.6,Australia,India,M Labuschagne,SPD Smith,R Ashwin,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,22.1,Australia,India,SPD Smith,M Labuschagne,RA Jadeja,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,22.2,Australia,India,SPD Smith,M Labuschagne,RA Jadeja,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,22.3,Australia,India,SPD Smith,M Labuschagne,RA Jadeja,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,22.4,Australia,India,SPD Smith,M Labuschagne,RA Jadeja,4,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,22.5,Australia,India,SPD Smith,M Labuschagne,RA Jadeja,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,22.6,Australia,India,SPD Smith,M Labuschagne,RA Jadeja,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,23.1,Australia,India,M Labuschagne,SPD Smith,R Ashwin,1,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,23.2,Australia,India,SPD Smith,M Labuschagne,R Ashwin,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,23.3,Australia,India,SPD Smith,M Labuschagne,R Ashwin,1,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,23.4,Australia,India,M Labuschagne,SPD Smith,R Ashwin,1,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,23.5,Australia,India,SPD Smith,M Labuschagne,R Ashwin,0,0,,,,,,,,,
